Company,Location HQ,Industry,# Laid Off,%,Date,Source,$ Raised (mm),Stage,Date Added,Country,List of Employees Laid Off
Pristyn Care,"Gurugram,Non-U.S.",Healthcare,300,0.15,2023-03-07T00:00:00.000Z,https://yourstory.com/2023/03/sequoia-backed-pristyn-care-lays-off-300-employees-shuts-medical-tourism-vertical,177,Series E,2023-03-07T15:44:34.000Z,India,
Catch,New York City,Finance,,1,2023-03-07T00:00:00.000Z,https://catch.co/thank-you/,18,Series A,2023-03-07T15:43:50.000Z,United States,
Atlassian,"Sydney,Non-U.S.",Other,500,0.05,2023-03-06T00:00:00.000Z,https://www.cnbc.com/2023/03/06/atlassian-cuts-5percent-of-headcount-as-it-focuses-on-high-priority-areas.html,210,Post-IPO,2023-03-07T00:12:52.000Z,Australia,
SiriusXM,New York City,Media,475,0.08,2023-03-06T00:00:00.000Z,https://variety.com/2023/digital/news/siriusxm-layoffs-465-employees-1235543907/,525,Post-IPO,2023-03-07T00:15:07.000Z,United States,
Alerzo,"Ibadan,Non-U.S.",Retail,400,,2023-03-06T00:00:00.000Z,https://techcabal.com/2023/03/06/alerzo-lays-off-900/,16,Series B,2023-03-07T01:30:17.000Z,Nigeria,
UpGrad,"Mumbai,Non-U.S.",Education,120,,2023-03-06T00:00:00.000Z,https://www.financialexpress.com/industry/upgrad-lays-off-30-workforce-at-subsidiary/3000299/lite/,631,Unknown,2023-03-07T01:26:02.000Z,India,
Loft,"Sao Paulo,Non-U.S.",Real Estate,340,0.15,2023-03-03T00:00:00.000Z,https://startups.com.br/demissoes/loft/,788,Unknown,2023-03-03T23:01:02.000Z,Brazil,
Embark Trucks,SF Bay Area,Transportation,230,0.7,2023-03-03T00:00:00.000Z,https://techcrunch.com/2023/03/03/embark-trucks-lays-off-workers-explores-liquidation-of-self-driving-truck-assets/,317,Post-IPO,2023-03-03T22:57:34.000Z,United States,
Lendi,"Sydney,Non-U.S.",Real Estate,100,,2023-03-03T00:00:00.000Z,https://www.theaustralian.com.au/business/financial-services/cbabacked-lendi-cuts-jobs-amid-slowing-home-loan-market/news-story/2c3af53306e8f7142076c19a9b2914bb?amp&nk=0a6e5860a1d2cd2b0ebc810544084b9b-1677884919,59,Unknown,2023-03-03T23:09:04.000Z,Australia,
UserTesting,SF Bay Area,Marketing,63,,2023-03-03T00:00:00.000Z,https://www.bizjournals.com/sanfrancisco/news/2023/03/03/usertesting-userzoom-thoma-bravo-layoffs-sunstone.html,152,Acquired,2023-03-04T00:59:57.000Z,United States,
Airbnb,SF Bay Area,Travel,30,,2023-03-03T00:00:00.000Z,https://www.bloomberg.com/news/articles/2023-03-03/airbnb-layoffs-hit-recruiting-staff-even-as-it-selectively-hires,6400,Post-IPO,2023-03-04T03:56:38.000Z,United States,
Accolade,Seattle,Healthcare,,,2023-03-03T00:00:00.000Z,https://www.bizjournals.com/seattle/news/2023/03/03/accolade-layoffs-reducing-office-footprint-seattle.html,458,Post-IPO,2023-03-07T01:19:18.000Z,United States,
Indigo,Boston,Other,,,2023-03-03T00:00:00.000Z,https://www.bizjournals.com/boston/news/2023/03/03/indigo-ag-layoffs-2023.html,1200,Series F,2023-03-04T00:48:13.000Z,United States,
Zscaler,SF Bay Area,Security,177,0.03,2023-03-02T00:00:00.000Z,https://www.crn.com/news/security/zscaler-discloses-layoffs-for-3-percent-of-employees,148,Post-IPO,2023-03-03T22:59:11.000Z,United States,
MasterClass,SF Bay Area,Education,79,,2023-03-02T00:00:00.000Z,https://www.bizjournals.com/sanfrancisco/news/2023/03/02/masterclass-yanka-layoffs-education-tech-celebs.html,461,Series E,2023-03-04T00:59:05.000Z,United States,
Ambev Tech,"Blumenau,Non-U.S.",Food,50,,2023-03-02T00:00:00.000Z,https://omunicipioblumenau.com.br/economia-em-pauta-ambev-tech-de-blumenau-demite-50-funcionarios-e-interrompe-abertura-de-vagas/,,Acquired,2023-03-04T00:50:59.000Z,Brazil,
Fittr,"Pune,Non-U.S.",Fitness,30,0.11,2023-03-02T00:00:00.000Z,https://inc42.com/buzz/exclusive-fittr-lays-off-11-of-workforce-after-losses-pile-up/,13,Series A,2023-03-03T23:07:08.000Z,India,
CNET,SF Bay Area,Media,12,0.1,2023-03-02T00:00:00.000Z,https://www.theverge.com/2023/3/2/23622231/cnet-layoffs-ai-articles-seo-red-ventures,20,Acquired,2023-03-04T03:57:42.000Z,United States,
Flipkart,"Bengaluru,Non-U.S.",Retail,,,2023-03-02T00:00:00.000Z,https://economictimes.indiatimes.com/prime/technology-and-startups/inside-flipkarts-downsizing-drive-layoffs-meagre-pay-hikes-more-pips/primearticleshow/98342831.cms,12900,Acquired,2023-03-07T01:23:15.000Z,India,
Kandela,Los Angeles,Consumer,,1,2023-03-02T00:00:00.000Z,https://therealdeal.com/la/2023/03/02/moving-concierge-startup-kandela-declares-bankruptcy/,,Acquired,2023-03-05T02:35:43.000Z,United States,
Truckstop.com,Boise,Logistics,,,2023-03-02T00:00:00.000Z,https://www.freightwaves.com/news/size-of-layoffs-at-truckstop-com-unknown,,Acquired,2023-03-04T03:58:51.000Z,United States,
Thoughtworks,Chicago,Other,500,0.04,2023-03-01T00:00:00.000Z,https://techcrunch.com/2023/03/01/thoughtworks-layoffs-economic-slowdown/,748,Post-IPO,2023-03-02T04:06:16.000Z,United States,
iFood,"Sao Paulo,Non-U.S.",Food,355,0.06,2023-03-01T00:00:00.000Z,https://economia.uol.com.br/noticias/redacao/2023/03/01/ifood-demissao-funcionarios.htm,2100,Subsidiary,2023-03-02T04:13:25.000Z,Brazil,
Color Health,SF Bay Area,Healthcare,300,,2023-03-01T00:00:00.000Z,https://www.beckershospitalreview.com/digital-health/color-health-lays-off-300-employees-amid-shift-away-from-covid-19-testing.html,482,Series E,2023-03-03T22:55:15.000Z,United States,https://airtable.com/shrztJEMNaqMAUOyr/tbliqmZamSABWdDoP
Waymo,SF Bay Area,Transportation,209,0.08,2023-03-01T00:00:00.000Z,https://www.theinformation.com/articles/alphabets-robotaxi-unit-waymo-says-it-laid-off-8,5500,Subsidiary,2023-03-02T04:08:34.000Z,United States,
PayFit,"Paris,Non-U.S.",HR,200,0.2,2023-03-01T00:00:00.000Z,https://www.lesechos.fr/start-up/next40-vivatech/payfit-se-separe-de-20-de-ses-effectifs-1910932,495,Series E,2023-03-02T04:17:47.000Z,France,
Yellow.ai,SF Bay Area,Support,200,,2023-03-01T00:00:00.000Z,https://inc42.com/buzz/conversational-ai-startup-yellow-ai-fires-200-employees/,102,Series C,2023-03-02T04:12:23.000Z,United States,
Sonder,SF Bay Area,Travel,100,0.14,2023-03-01T00:00:00.000Z,https://www.sec.gov/ix?doc=/Archives/edgar/data/0001819395/000181939523000010/son-20230301.htm,839,Post-IPO,2023-03-02T04:16:20.000Z,United States,
Protego Trust Bank,Seattle,Crypto,,0.5,2023-03-01T00:00:00.000Z,https://www.coindesk.com/business/2023/03/01/crypto-bank-charter-firm-protego-trust-lays-off-most-of-its-workforce-source/,70,Series A,2023-03-03T23:16:05.000Z,United States,
